name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Sebastián Videla Castillo,sebastian videla castillo,IND,Independientes,0.178712,0.135464,0.052968,0.074895,0.282529,54,[],-0.274601,-0.440759,-0.512637,-0.574609,-0.13385,0.13385,Alta coincidencia texto-voto,False,150,31
Daniel Lilayu Vivanco,daniel lilayu vivanco,UDI,Chile Vamos,0.18233,0.139082,0.01547,0.152009,0.212651,55,[],0.58728,1.139889,0.212925,-0.586243,-1.726132,1.726132,Mas moderado/a en discurso que en votacion tematica,False,154,65
Patricio Rosas Barrientos,patricio rosas barrientos,IND,Independientes,0.212975,0.169727,0.01933,0.175088,0.250862,56,[],-0.527929,-0.90535,-0.704031,-0.684775,0.220574,0.220574,Alta coincidencia texto-voto,False,129,19
Andrés Celis Montt,andres celis montt,RN,Chile Vamos,0.23564,0.192392,0.019346,0.197722,0.273557,57,[],0.411413,0.817356,0.123985,-0.757648,-1.575004,1.575004,Mas moderado/a en discurso que en votacion tematica,False,128,53
María Luisa Cordero Velásquez,maria luisa cordero velasquez,IND,Independientes,0.242236,0.198988,0.035649,0.172364,0.312108,58,[],0.364705,0.731697,0.079011,-0.778858,-1.510554,1.510554,Mas moderado/a en discurso que en votacion tematica,False,96,48
Carolina Marzán Pinto,carolina marzan pinto,PPD,Socialismo Democrático,0.25468,0.211433,0.046928,0.162701,0.34666,59,[],-0.403615,-0.677364,-0.531773,-0.818869,-0.141505,0.141505,Alta coincidencia texto-voto,False,95,26
Miguel Mellado Suazo,miguel mellado suazo,RN,Chile Vamos,0.26612,0.222873,0.036118,0.195329,0.336912,60,[],0.479674,0.942545,0.170361,-0.855652,-1.798197,1.798197,Mas moderado/a en discurso que en votacion tematica,False,164,58
Fernando Bórquez Montecinos,fernando borquez montecinos,UDI,Chile Vamos,0.266473,0.223225,0.032342,0.203082,0.329864,61,[],0.595189,1.154393,0.167178,-0.856787,-2.01118,2.01118,Mas moderado/a en discurso que en votacion tematica,False,148,66
Jaime Mulet Martínez,jaime mulet martinez,FRVS,PC + FRVS + AH,0.339014,0.295766,0.035781,0.268882,0.409145,62,[],-0.39928,-0.669415,-0.609769,-1.090025,-0.42061,0.42061,Alta coincidencia texto-voto,False,121,27
Alejandro Bernales Maldonado,alejandro bernales maldonado,LIBERAL,Socialismo Democrático,0.344282,0.301034,0.037361,0.271056,0.417509,63,[],-0.283245,-0.456612,-0.494767,-1.106964,-0.650352,0.650352,Mas moderado/a en discurso que en votacion tematica,False,143,30
Bernardo Berger Fett,bernardo berger fett,RN,Independientes,0.358226,0.314978,0.033112,0.293326,0.423126,64,"[{'fecha': '2025-11-26', 'polo': 'positivo', 'text': 'honorable Cámara, durante la discusión de este proyecto de ley en la Comisión de Gobierno Interior se escucharon críticas de algunos colegas, quienes argumentaron que esta iniciativa pone en peligro los derechos de personas vulnerables. Les quiero decir a mis colegas que, si se trata de derechos de personas vulnerables, a los primeros que debemos proteger y garantizar derechos sociales es a nuestros compatriotas, porque hay chilenos vulnerable...'}, {'fecha': '2025-09-10', 'polo': 'positivo', 'text': 'Que les vaya muy bien y que representen de buena manera a Chile. Vamos a colocar un poco más de seriedad al desarrollo de la sesión. diversas organizaciones mundiales, entre ellas, la Organización para la Cooperación y el Desarrollo Económicos, la Federación Internacional de Planes de Salud e, incluso, la propia Fiscalía Nacional Económica han ubicado a la salud en Chile como una de las más caras a nivel mundial. Por lo tanto, toda iniciativa ...'}, {'fecha': '2025-07-15', 'polo': 'positivo', 'text': '¿Habría acuerdo para que ingrese a la Sala el superintendente de Salud? Acordado. En discusión el proyecto. honorable Cámara, las listas de espera siguen siendo un problema: más de 2 millones de personas esperan por una consulta de especialidad y más de 300.000 esperan por una cirugía. Si a esto le agregamos la falta de insumos en casi la totalidad de los hospitales de la red, estamos ante una evidencia más que clara de que la red pública no e...'}]",0.45441,0.896211,0.150743,-1.151799,-2.048009,2.048009,Mas moderado/a en discurso que en votacion tematica,False,170,55
Ximena Ossandón Irarrázabal,ximena ossandon irarrazabal,RN,Chile Vamos,0.360769,0.317521,0.015448,0.330491,0.391047,65,"[{'fecha': '2025-12-02', 'polo': 'positivo', 'text': 'Para hablar a favor de la solicitud de resolución, tiene la palabra la diputada Ximena Ossandón. este es un tema respecto del cual hemos insistido muchas veces porque la infancia es, sin lugar a dudas, la etapa más vulnerable y, a la vez, la más decisiva en el ciclo vital humano. Es en esos primeros años cuando se define no solo la estructura biológica y cognitiva de las personas, sino también su capacidad de vinculación, resiliencia y, en def...'}, {'fecha': '2025-12-02', 'polo': 'positivo', 'text': 'Para hablar a favor de la solicitud de resolución, tiene la palabra la diputada Ximena Ossandón. este es un tema bastante recurrente. En esta Sala lo hemos visto muchas veces, pero al parecer tenemos que insistir mucho. En los últimos años, la salud mental se ha convertido en un tema prioritario para la sociedad chilena. El aumento de problemas relacionados con la ansiedad, la depresión, con trastornos de conducta, estrés postraumático y otras...'}, {'fecha': '2025-09-10', 'polo': 'positivo', 'text': 'primero quiero aclarar algunos aspectos del proyecto, porque en el informe aparece un error al señalar que no se requiere prescripción médica, lo que fue parte de la evolución de esta iniciativa. El diputado Palma ya lo explicó, pero veo que muchas intervenciones insisten en ese punto. Este proyecto tiene la gracia de que se construyó con bastante conversación, con distintas personas y especialistas, y terminó siendo un proyecto bastante reali...'}]",0.355712,0.715205,0.103369,-1.159975,-1.875179,1.875179,Mas moderado/a en discurso que en votacion tematica,False,160,47
Héctor Ulloa Aguilera,hector ulloa aguilera,IND,Independientes,0.405823,0.362575,0.037865,0.331608,0.480038,66,"[{'fecha': '2025-06-30', 'polo': 'positivo', 'text': 'quizá una de las conclusiones más importantes que arroja este informe de la comisión especial investigadora sobre las listas de espera en el sistema público es la falta angustiante de médicos generales y de médicos especialistas, sobre todo en las regiones más extremas o aisladas del país. Para nadie es un misterio que existe una salud para pobres y otra para ricos. Sin embargo, poco se habla de que también existe una salud para la Región Metr...'}, {'fecha': '2025-03-04', 'polo': 'positivo', 'text': 'junto con saludar cordialmente a la ministra de Salud y al director del Fonasa, quiero señalar, en primer lugar, que este proyecto, sin duda, puede constituir un avance, pero, lamentablemente, tengo la convicción de que será solo en la Región Metropolitana. No será un avance -creo yo- en las regiones, sobre todo en las regiones más extremas de nuestro extenso país. ¿Por qué digo esto? Porque ustedes saben, estimados colegas, que el 75 por cien...'}, {'fecha': '2024-11-14', 'polo': 'positivo', 'text': 'escasos son estos dos minutos para hablar de salud pública, como también escaso es el presupuesto asignado, lamentablemente, para la salud pública en Llanquihue, Chiloé y Palena, pero es por eso que hemos solicitado directamente al ministro Marcel -por su intermedio, señorita Presidentaasignar los recursos para lo siguiente. En primer lugar, en el Hospital de Puerto Montt necesitamos crear la unidad de cardiocirugía. Treinta personas están sie...'}]",-0.078696,-0.08148,-0.526761,-1.304835,-1.223356,1.223356,Mas moderado/a en discurso que en votacion tematica,False,155,37
Marcia Raphael Mora,marcia raphael mora,RN,Chile Vamos,0.422203,0.378955,0.026392,0.370474,0.473932,67,"[{'fecha': '2025-09-29', 'polo': 'positivo', 'text': 'No está. No está. quiero manifestar mi apoyo a esta iniciativa que incorpora a nuestro Código del Trabajo un permiso laboral especial para la detección preventiva del cáncer gástrico a través de un examen. Hoy, el artículo 66 bis contempla medio día de permiso para exámenes preventivos vinculados al cáncer de próstata y a la mamografía. Este proyecto, con justicia y visión de salud pública, suma un tercer examen: la pesquisa de una bacteria qu...'}, {'fecha': '2024-11-14', 'polo': 'positivo', 'text': 'No está presente. el aumento del 3,9 por ciento en la partida de Salud es lamentable y absolutamente ineficiente para enfrentar la magnitud de los problemas que hoy afectan a millones de personas en nuestro país, como las listas de espera, demoras en atención de servicios de urgencia y la falta de especialistas en la Región de Aysén, hecho que afecta, en gran parte, a las localidades más aisladas. Con más de 2 millones y medio de chilenos que ...'}, {'fecha': '2024-01-22', 'polo': 'positivo', 'text': 'las personas que hemos tenido cáncer y lo hemos superado sabemos lo complejo que es poder ganarle a esa terrible enfermedad, lo complejo que es aún en Chile optar a un tratamiento oportuno y de calidad, y lo difícil que es acceder a médicos especialistas y a tratamientos si se es de una zona tan extrema como la Región de Aysén. El cáncer aún sigue siendo la principal causa de muerte en mi región, en donde por años hemos luchado por tener un ce...'}]",0.543763,1.060081,0.149736,-1.3575,-2.417581,2.417581,Mas moderado/a en discurso que en votacion tematica,False,158,61
