name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Marta Bravo Salinas,marta bravo salinas,UDI,Chile Vamos,-0.011927,-0.000322,0.040083,-0.090489,0.066634,37,[],0.474697,0.841054,0.198315,-0.03441,-0.875464,0.875464,Mas moderado/a en discurso que en votacion tematica,False,548,59
Jaime Mulet Martínez,jaime mulet martinez,FRVS,PC + FRVS + AH,0.005286,0.016891,0.023733,-0.041232,0.051803,38,[],-0.255536,-0.45626,-0.609769,0.015249,0.471509,0.471509,Mas extremo/a en discurso que en votacion tematica,False,321,25
Gastón Von Mühlenbrock Zamora,gaston von muhlenbrock zamora,UDI,Chile Vamos,0.023566,0.035171,0.024529,-0.024511,0.071643,39,[],0.696526,1.23515,0.235931,0.067986,-1.167164,1.167164,Mas moderado/a en discurso que en votacion tematica,False,707,66
Roberto Arroyo Muñoz,roberto arroyo munoz,PSC,Republicanos,0.027548,0.039153,0.024353,-0.020184,0.07528,40,[],0.227065,0.401117,0.066908,0.079473,-0.321644,0.321644,Mas moderado/a en discurso que en votacion tematica,False,661,43
Eduardo Durán Salinas,eduardo duran salinas,RN,Chile Vamos,0.053335,0.064941,0.030061,-0.005584,0.112254,41,[],0.510682,0.904985,0.156822,0.153869,-0.751116,0.751116,Mas moderado/a en discurso que en votacion tematica,False,562,61
Daniel Lilayu Vivanco,daniel lilayu vivanco,UDI,Chile Vamos,0.060777,0.072382,0.029227,0.003492,0.118062,42,[],0.4191,0.742282,0.212925,0.175337,-0.566944,0.566944,Mas moderado/a en discurso que en votacion tematica,False,769,53
Diego Ibáñez Cotroneo,diego ibanez cotroneo,PCS,Frente Amplio,0.066757,0.078363,0.030601,0.006779,0.126735,43,[],-0.848088,-1.508973,-0.807709,0.19259,1.701564,1.701564,Mas extremo/a en discurso que en votacion tematica,False,669,5
Rubén Darío Oyarzo Figueroa,ruben dario oyarzo figueroa,IND,PDG,0.083833,0.095439,0.026462,0.031968,0.135698,44,[],-0.021768,-0.040953,-0.299294,0.241854,0.282807,0.282807,Mas extremo/a en discurso que en votacion tematica,False,628,40
Diego Schalper Sepúlveda,diego schalper sepulveda,RN,Chile Vamos,0.086042,0.097647,0.031702,0.023907,0.148177,45,[],0.384867,0.681465,0.144067,0.248226,-0.433239,0.433239,Mas moderado/a en discurso que en votacion tematica,False,565,52
Sofía Cid Versalovic,sofia cid versalovic,RN,Chile Vamos,0.091096,0.102701,0.033623,0.025196,0.156996,46,[],0.726521,1.28844,0.314381,0.262806,-1.025634,1.025634,Mas moderado/a en discurso que en votacion tematica,False,645,67
Frank Sauerbaum Muñoz,frank sauerbaum munoz,RN,Chile Vamos,0.098111,0.109717,0.011962,0.074665,0.121557,47,[],0.487026,0.862958,0.151774,0.283045,-0.579913,0.579913,Mas moderado/a en discurso que en votacion tematica,False,727,60
Joanna Pérez Olea,joanna perez olea,DC,Demócratas + Amarillos,0.125496,0.137102,0.01752,0.091157,0.159836,48,[],-0.032744,-0.060452,-0.260634,0.362049,0.422502,0.422502,Mas extremo/a en discurso que en votacion tematica,False,574,39
Christian Matheson Villán,christian matheson villan,IND,Independientes,0.135953,0.147558,0.02856,0.079975,0.191931,49,[],0.441986,0.782941,0.237612,0.392215,-0.390726,0.390726,Mas moderado/a en discurso que en votacion tematica,False,690,54
Miguel Ángel Calisto Águila,miguel angel calisto aguila,DC,Independientes,0.139485,0.151091,0.02786,0.08488,0.19409,50,[],-0.049675,-0.090533,-0.223188,0.402407,0.49294,0.49294,Mas extremo/a en discurso que en votacion tematica,False,432,37
Jorge Guzmán Zepeda,jorge guzman zepeda,EVOP,Chile Vamos,0.165203,0.176809,0.019488,0.127007,0.203399,51,[],0.257221,0.454693,0.080102,0.476601,0.021908,0.021908,Alta coincidencia texto-voto,False,619,44
Agustín Romero Leiva,agustin romero leiva,PREP,Republicanos,0.170991,0.182596,0.013684,0.144169,0.197812,52,[],0.917128,1.627067,0.605007,0.493298,-1.133769,1.133769,Mas moderado/a en discurso que en votacion tematica,False,762,73
Gonzalo Winter Etcheberry,gonzalo winter etcheberry,PCS,Frente Amplio,0.178462,0.190067,0.031908,0.115922,0.241001,53,[],-0.368677,-0.657264,-0.719138,0.514852,1.172115,1.172115,Mas extremo/a en discurso que en votacion tematica,False,683,23
Stephan Schubert Rubio,stephan schubert rubio,PREP,Independientes,0.18971,0.201316,0.020662,0.149212,0.230209,54,[],0.884831,1.569689,0.591946,0.547302,-1.022387,1.022387,Mas moderado/a en discurso que en votacion tematica,False,730,71
Francisco Undurraga Gazitúa,francisco undurraga gazitua,EVOP,Chile Vamos,0.214099,0.225705,0.029226,0.156817,0.271381,55,[],0.222808,0.393554,0.097448,0.617663,0.224109,0.224109,Alta coincidencia texto-voto,False,620,42
Cristhian Moreira Barros,cristhian moreira barros,UDI,Chile Vamos,0.215507,0.227113,0.032277,0.152244,0.27877,56,[],0.380208,0.673189,0.180042,0.621725,-0.051464,0.051464,Alta coincidencia texto-voto,False,648,51
Flor Weisse Novoa,flor weisse novoa,UDI,Chile Vamos,0.238488,0.250093,0.024745,0.189987,0.286988,57,[],0.308995,0.546673,0.265192,0.688022,0.141349,0.141349,Alta coincidencia texto-voto,False,756,48
Marcela Riquelme Aliaga,marcela riquelme aliaga,IND,Independientes,0.270206,0.281811,0.031286,0.208885,0.331527,58,[],-0.406675,-0.72477,-0.792168,0.779528,1.504298,1.504298,Mas extremo/a en discurso que en votacion tematica,False,500,20
Andrés Longton Herrera,andres longton herrera,RN,Chile Vamos,0.303137,0.314743,0.017866,0.26812,0.338155,59,[],0.45697,0.809562,0.114215,0.874533,0.064971,0.064971,Alta coincidencia texto-voto,False,683,57
Gustavo Benavente Vergara,gustavo benavente vergara,UDI,Chile Vamos,0.30688,0.318486,0.02561,0.256685,0.357075,60,[],0.833644,1.478752,0.260212,0.88533,-0.593422,0.593422,Mas moderado/a en discurso que en votacion tematica,False,602,70
Felipe Donoso Castro,felipe donoso castro,UDI,Chile Vamos,0.308967,0.320573,0.028672,0.252771,0.365163,61,[],0.674009,1.195148,0.23873,0.891351,-0.303797,0.303797,Mas moderado/a en discurso que en votacion tematica,False,718,65
Marlene Pérez Cartes,marlene perez cartes,IND,Independientes,0.314783,0.326389,0.030308,0.25538,0.374186,62,[],0.37419,0.662497,0.15478,0.90813,0.245633,0.245633,Mas extremo/a en discurso que en votacion tematica,False,671,50
Benjamín Moreno Bascur,benjamin moreno bascur,PREP,Republicanos,0.356286,0.367891,0.02628,0.304778,0.407794,63,[],0.957736,1.69921,0.586606,1.027863,-0.671347,0.671347,Mas moderado/a en discurso que en votacion tematica,False,721,75
Juan Fuenzalida Cobo,juan fuenzalida cobo,UDI,Chile Vamos,0.371271,0.382877,0.039775,0.293313,0.449229,64,[],0.31149,0.551105,0.197891,1.071095,0.51999,0.51999,Mas extremo/a en discurso que en votacion tematica,False,552,49
Gaspar Rivas Sánchez,gaspar rivas sanchez,IND,PDG,0.402995,0.414601,0.028321,0.347486,0.458504,65,[],0.05464,0.094792,-0.18684,1.162617,1.067825,1.067825,Mas extremo/a en discurso que en votacion tematica,False,424,41
Gonzalo De la Carrera Correa,gonzalo de la carrera correa,PNL,Independientes,0.405131,0.416736,0.022151,0.361716,0.448546,66,"[{'fecha': '2025-01-29', 'polo': 'positivo', 'text': 'El señor DE LA CARRERA.- respecto de este mamarracho previsional, quiero decir que se parece a un camello con seis jorobas. ¿Por qué? Porque son puros parches. Quiero contarle que tuve un debate con el exministro de Hacienda Ignacio Briones, quien defiende a morir este proyecto; sin embargo, me tuvo que reconocer varias cosas. Primero, que no resuelve los reales problemas de las bajas pensiones, porque no aborda las lagunas previsionales ni la...'}, {'fecha': '2024-09-25', 'polo': 'positivo', 'text': 'El señor DE LA CARRERA.- quiero hablar de otro tipo de delincuencia, otro tipo de organizaciones hechas para delinquir, otro tipo de crimen organizado: el del Estado, que hoy es el mayor creador de empleos en Chile. Son 140.000 ""amigues"" a los que les pagamos su sueldo con nuestros impuestos, y como falta plata para los ""amigues"", vamos a recurrir al bolsillo de los chilenos, pero no de los más ricos, sino de la clase media. Escuchen bien uste...'}, {'fecha': '2024-01-24', 'polo': 'positivo', 'text': 'El señor DE LA CARRERA.- la ignorancia es muy peligrosa y atrevida, sobre todo en un gobierno en práctica. Este proyecto no aborda el principal factor que había que corregir y el ministro de Hacienda lo sabe, pero lo calla: subir la edad de jubilación para subir las pensiones, porque lo que se requiere financiar son los años de sobrevida posteriores a la jubilación. Cobardes y populistas, no se atreven a proponer una medida impopular, pero fun...'}]",0.26218,0.463502,0.486506,1.168778,0.705276,0.705276,Mas extremo/a en discurso que en votacion tematica,False,171,45
Cristián Araya Lerdo de Tejada,cristian araya lerdo de tejada,PREP,Republicanos,0.417485,0.429091,0.019128,0.379994,0.454977,67,"[{'fecha': '2025-11-18', 'polo': 'positivo', 'text': 'hace pocos minutos, la izquierda defendía el aumento en un 11 por ciento del presupuesto para el Ministerio de las Culturas, las Artes y el Patrimonio, pero a Carabineros se lo reducen, ajustado a inflación, en un 0,9 por ciento. En formación y perfeccionamiento policial, la reducción alcanza un 2,6 por ciento, y en el caso del presupuesto para la PDI, la disminución real es de 2,5 por ciento. La gente tiene miedo de salir de sus casas para ir...'}, {'fecha': '2025-10-01', 'polo': 'positivo', 'text': 'en primer lugar, saludo al ministro, a quien felicito por estar presente en la Sala, algo que no acostumbran hacer los titulares de otras carteras de este gobierno. Así que, reitero mi reconocimiento al señor ministro. En segundo término, también lo felicito porque, en pocos meses, ha hecho más por el empleo que lo que realizó en varios años la anterior ministra. Como parlamentarios, todas las semanas debemos decidir, y también deben hacerlo l...'}, {'fecha': '2025-06-18', 'polo': 'positivo', 'text': 'la Comisión Mixta insiste en proponer la creación de un observatorio de ingresos y costo de la vida de las personas trabajadoras. En esta extraña forma que tienen algunos de redactar, hablar y legislar, hablaban de las y los trabajadores. En otros momentos hablarían de las trabajadoras. Una forma muy extraña de utilizar la lengua española. Al respecto caben varias observaciones. Por un lado, logramos que los integrantes del observatorio se des...'}]",0.460902,0.816546,0.574927,1.20442,0.387874,0.387874,Mas extremo/a en discurso que en votacion tematica,False,683,58
Henry Leal Bizama,henry leal bizama,UDI,Chile Vamos,0.420999,0.432604,0.014104,0.393355,0.448643,68,"[{'fecha': '2025-10-01', 'polo': 'positivo', 'text': 'saludo de manera especial a una delegación de alumnos de cuarto año medio del Complejo Educacional Público Darío Salas, de la comuna de Carahue; a su profesor, Javier Galaz; a su directiva, encabezada por Betsabé Arias, y a su secretaria, Deisis Jeno Rojas. Les hago llegar un saludo de manera especial, por haber viajado desde lejos para estar acá hoy. Respecto del proyecto de ley que estamos discutiendo en esta sesión, quiero decir que voy a a...'}, {'fecha': '2025-06-02', 'polo': 'positivo', 'text': 'nosotros siempre vamos a respaldar cualquier proyecto de ley que tenga por objetivo eliminar burocracia y eliminar tramitación. Por eso, vamos a respaldar esta iniciativa cuyo autor es nuestro colega Fuenzalida. No obstante, también quiero manifestar una preocupación que me han expresado los directores de obras de mi región, con quienes me reuní. Hay muchas municipalidades pequeñas en las que existe el director de obras, una secretaria y uno o...'}, {'fecha': '2025-01-29', 'polo': 'positivo', 'text': 'hay que tomar una decisión respecto del futuro de las pensiones de los adultos mayores de nuestro país. Represento a la Región de La Araucanía, una región en que el mayor porcentaje de adultos mayores nunca ha cotizado en su vida. De que suba la PGU depende que su pensión suba. No hay otra manera. A esos miles de adultos y adultas mayores de La Araucanía esta reforma solo les importa en la medida en que suba la PGU, y por esas personas yo voy ...'}]",0.294554,0.521017,0.176014,1.214557,0.69354,0.69354,Mas extremo/a en discurso que en votacion tematica,False,564,47
Andrés Jouannet Valderrama,andres jouannet valderrama,AMA,Demócratas + Amarillos,0.422214,0.43382,0.030999,0.361457,0.482972,69,"[{'fecha': '2025-10-01', 'polo': 'positivo', 'text': 'lo primero es ordenar la información, porque acá se habla de atacar a las grandes empresas. La verdad es que quienes dan empleo en Chile son fundamentalmente las pymes y, por tanto, cuando se toman medidas en favor o en contra del empleo, se afecta a estas empresas. El 99 por ciento de las empresas de este país son pymes y dan el 63 por ciento de los empleos. Eso es lo primero. Ahora, hay un gran empleador, que es el Estado, el gobierno, y en ...'}, {'fecha': '2025-07-01', 'polo': 'positivo', 'text': 'hablar de permisos así, al voleo, sin haber ido nunca a una municipalidad o a algún ministerio a sacar permisos de cualquier tipo, es superfácil. Quiero decirles que hay un montón de personas, pequeños, medianos y grandes empresarios, que buscan invertir -no irse por el lado, sino invertir y que se encuentran con una serie de trabas. Eso es objetivo. Hace unos días, el Fondo Monetario Internacional se refirió a la única posibilidad de Chile pa...'}, {'fecha': '2025-06-30', 'polo': 'positivo', 'text': 'Continúa la sesión. naturalmente, voy a apoyar este proyecto. Creo que hoy tenemos una realidad muy distinta de la que vivieron mis padres, quienes, lamentablemente, ya no están. Ellos eran personas mayores que no recibieron mucho apoyo por parte del Estado. Hoy el Estado está en deuda. En La Araucanía tenemos 300.000 personas en listas de espera. Quiero decirle a la ministra subrogante que en La Araucanía vivimos, más o menos, un millón de pe...'}]",-0.051073,-0.093016,-0.286982,1.218063,1.311079,1.311079,Mas extremo/a en discurso que en votacion tematica,False,610,36
Miguel Mellado Suazo,miguel mellado suazo,RN,Chile Vamos,0.442995,0.4546,0.013966,0.415621,0.470368,70,"[{'fecha': '2025-11-17', 'polo': 'positivo', 'text': 'por su intermedio, saludo al ministro y a la subsecretaria. Voy a ser un poco más técnico que político en esta presentación para decir que, efectivamente, el gobierno postuló un crecimiento del gasto del 1,7 por ciento, lo que está alimentado, igual que el año 2025, por estimaciones excesivamente optimistas en cuanto a ingresos. Aquí hay que mencionar que el Consejo Fiscal Autónomo, en su informe de mayo de 2025, señaló que el crecimiento real...'}, {'fecha': '2025-06-09', 'polo': 'positivo', 'text': 'qué más quisiéramos que el sueldo mínimo fuera mucho más alto, como quiere ahora la CUT y otros, de 700.000 pesos o de 1 millón de pesos, pero la verdad es que la economía está bastante débil para hacerlo. Cuando se suben los sueldos mínimos, las que crujen son las pymes, y si se aumenta el sueldo mínimo y se da un subsidio para que la pyme pueda pagarlo, quiere decir que el mercado no funciona y no se está pagando el trabajo como corresponde....'}, {'fecha': '2025-05-14', 'polo': 'positivo', 'text': 'Ha concluido su tiempo, señora diputada. con este proyecto, el gobierno nos avisa que la inflación de este año será de 5,6 por ciento. ¿Por qué lo digo? Porque el proyecto dice que el reajuste es para mantener el poder adquisitivo de los chilenos, de acuerdo al aumento de 500.000 pesos, reajustado en enero de 2025. Sin embargo, para mantener el poder adquisitivo hay que considerar la inflación, y, según el Banco Central, esta será de 3,8 y no ...'}]",0.561457,0.99519,0.170361,1.278012,0.282822,0.282822,Mas extremo/a en discurso que en votacion tematica,False,728,63
Juan Antonio Coloma Álamos,juan antonio coloma alamos,UDI,Chile Vamos,0.473056,0.484661,0.021478,0.430959,0.515152,71,"[{'fecha': '2025-01-29', 'polo': 'positivo', 'text': 'hoy votaremos a favor de la reforma de pensiones, porque es un triunfo ideológico profundo de nuestras ideas y, al mismo tiempo, porque es un fracaso ideológico profundo de las ideas de izquierda. Voy a explicar por qué. Cuando llegaron al gobierno, ustedes querían cambiarlo todo con ese proceso constituyente fallido, que le quería pegar un manotazo a los fondos de pensiones. ¡Enhorabuena, lo rechazamos! Porque fortalecimos, en el intertanto, ...'}, {'fecha': '2024-06-18', 'polo': 'positivo', 'text': 'estamos frente a un gobierno que primero indulta a delincuentes y después les paga una pensión de gracia. Lo peor de todo es que lo hace con la complicidad del Partido Comunista, que hoy nos anuncia que irá al Tribunal Constitucional y que se va a oponer, porque va a seguir defendiendo a los delincuentes que se escondieron en el estallido de violencia que hubo en nuestro país. Pero no solo eso, sino que lo hace con la complicidad del Instituto...'}, {'fecha': '2024-01-24', 'polo': 'positivo', 'text': 'los mismos que hoy nos vienen a pedir apoyo para subir las pensiones intentaron expropiar esas platas en el plebiscito que se realizó hace dos años; los mismos que hoy vienen a pedir plata adicional para el reparto son quienes quisieron quitarles las platas de su jubilación. Y para ver si les creemos o no, los invito a hacer un poquito de historia. Quienes hoy nos prometen mejores pensiones son los mismos que inventaron el Transantiago, sistem...'}]",0.745238,1.321691,0.218408,1.364737,0.043045,0.043045,Alta coincidencia texto-voto,False,634,68
